Name,Condition,Severity,Target scope,Target resource type,Signal type,Status
Agenda Performance Monitoring - AgendaSelect,Table rows >= 1 ,Sev2,z-aas-plex-plex-pra-ew1-ain03,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Agenda Performance Monitoring - AgendaUniqueCount,Table rows >= 1 ,Sev2,z-aas-plex-plex-pra-ew1-ain03,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
argus-fe-z-aas-args-args-pra-ew1-ain01,Failed locations >= 1,Sev1,z-aas-args-args-pra-ew1-ain01,Application Insights,microsoft.insights/metricalerts,Enabled
Automation errors - PRA - over 1 minute,itemCount >= 1 ,Sev0,z-aas-plex-plex-pra-ew1-ain14,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Automation errors - PRD - over 1 minute,itemCount >= 1 ,Sev0,z-aas-plex-plex-pra-ew1-ain03,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Deadlocks - PRA - over 1 hour,Table rows > 1 ,Sev2,z-aas-plex-plex-pra-ew1-ain14,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Deadlocks - PRD - over 1 hour,Table rows > 1 ,Sev2,z-aas-plex-plex-pra-ew1-ain03,Application Insights,microsoft.insights/scheduledqueryrules,Enabled
Errors notification,requests/failed > 0 and 1 more condition,Sev2,z-aas-plex-plex-dva-ew1-ain04,Application Insights,microsoft.insights/metricalerts,Enabled
Failure Anomalies - plex3dev,Failure Anomalies detected,Sev3,plex3dev,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-args-args-dva-ew1-ain01,Failure Anomalies detected,Sev3,z-aas-args-args-dva-ew1-ain01,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-args-args-ppa-ew1-ain01,Failure Anomalies detected,Sev3,z-aas-args-args-ppa-ew1-ain01,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-args-args-pra-en1-ain01,Failure Anomalies detected,Sev3,z-aas-args-args-pra-en1-ain01,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-args-args-pra-ew1-ain01,Failure Anomalies detected,Sev3,z-aas-args-args-pra-ew1-ain01,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-ew1-ain-wceeapp02,Failure Anomalies detected,Sev3,z-aas-ew1-ain-wceeapp02,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-ew1-ain-wceedevweb01,Failure Anomalies detected,Sev3,z-aas-ew1-ain-wceedevweb01,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-ew1-ain-wceeextweb01,Failure Anomalies detected,Sev3,z-aas-ew1-ain-wceeextweb01,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-ew1-ain-wceeprplxweb01,Failure Anomalies detected,Sev3,z-aas-ew1-ain-wceeprplxweb01,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
